iter	Passed	Remaining
0	210	50689
1	256	30734
2	298	23816
3	339	20199
4	380	18035
5	421	16565
6	460	15469
7	499	14602
8	536	13900
9	580	13464
10	624	13106
11	667	12786
12	708	12476
13	747	12181
14	793	12009
15	836	11822
16	874	11568
17	911	11344
18	955	11217
19	997	11067
20	1034	10891
21	1070	10709
22	1112	10588
23	1152	10469
24	1192	10352
25	1237	10282
26	1279	10189
27	1329	10162
28	1368	10051
29	1415	10001
30	1457	9921
31	1496	9822
32	1534	9720
33	1575	9636
34	1617	9566
35	1655	9474
36	1693	9380
37	1732	9301
38	1773	9230
39	1812	9154
40	1853	9085
41	1888	8993
42	1924	8908
43	1965	8845
44	2002	8768
45	2044	8709
46	2086	8656
47	2125	8590
48	2166	8532
49	2205	8471
50	2243	8402
51	2285	8351
52	2326	8297
53	2365	8235
54	2406	8181
55	2446	8124
56	2484	8063
57	2520	7994
58	2577	7995
59	2619	7945
60	2661	7896
61	2701	7843
62	2740	7787
63	2794	7771
64	2847	7755
65	2888	7703
66	2930	7653
67	2971	7603
68	3010	7548
69	3052	7500
70	3092	7448
71	3133	7397
72	3172	7345
73	3210	7289
74	3250	7238
75	3289	7185
76	3327	7130
77	3367	7080
78	3403	7022
79	3439	6965
80	3476	6910
81	3513	6854
82	3549	6800
83	3586	6745
84	3625	6695
85	3663	6645
86	3704	6600
87	3743	6550
88	3784	6506
89	3826	6463
90	3868	6418
91	3906	6369
92	3944	6319
93	3982	6269
94	4019	6219
95	4055	6168
96	4093	6119
97	4131	6071
98	4170	6023
99	4210	5978
100	4250	5933
101	4288	5885
102	4326	5838
103	4371	5801
104	4411	5755
105	4453	5714
106	4494	5670
107	4534	5626
108	4575	5583
109	4614	5536
110	4651	5489
111	4689	5443
112	4729	5398
113	4766	5351
114	4803	5304
115	4855	5274
116	4897	5232
117	4941	5192
118	4979	5147
119	5017	5100
120	5059	5059
121	5099	5015
122	5140	4973
123	5178	4928
124	5216	4882
125	5253	4836
126	5294	4794
127	5335	4751
128	5386	4718
129	5425	4674
130	5462	4628
131	5501	4584
132	5542	4542
133	5579	4497
134	5617	4452
135	5653	4406
136	5691	4362
137	5729	4318
138	5766	4272
139	5802	4227
140	5842	4184
141	5879	4140
142	5921	4099
143	5957	4054
144	5995	4010
145	6055	3981
146	6094	3938
147	6133	3895
148	6174	3854
149	6222	3816
150	6260	3772
151	6301	3731
152	6355	3696
153	6398	3656
154	6454	3622
155	6489	3577
156	6526	3533
157	6562	3488
158	6599	3445
159	6645	3406
160	6705	3373
161	6743	3329
162	6783	3287
163	6825	3246
164	6865	3204
165	6905	3161
166	6945	3119
167	6982	3075
168	7021	3033
169	7059	2989
170	7099	2947
171	7136	2904
172	7174	2861
173	7212	2818
174	7249	2775
175	7287	2732
176	7324	2689
177	7365	2648
178	7405	2606
179	7442	2563
180	7483	2522
181	7524	2480
182	7567	2439
183	7607	2398
184	7648	2356
185	7705	2319
186	7753	2280
187	7793	2238
188	7838	2198
189	7883	2157
190	7923	2115
191	7963	2073
192	8003	2032
193	8042	1989
194	8080	1947
195	8117	1905
196	8158	1863
197	8200	1822
198	8237	1779
199	8271	1737
200	8313	1695
201	8350	1653
202	8390	1611
203	8426	1569
204	8469	1528
205	8509	1487
206	8548	1445
207	8587	1403
208	8624	1361
209	8663	1320
210	8703	1278
211	8744	1237
212	8784	1195
213	8824	1154
214	8862	1112
215	8899	1071
216	8937	1029
217	8975	988
218	9011	946
219	9050	905
220	9091	863
221	9130	822
222	9170	781
223	9210	740
224	9252	699
225	9294	658
226	9333	616
227	9372	575
228	9431	535
229	9471	494
230	9509	452
231	9548	411
232	9590	370
233	9630	329
234	9671	288
235	9709	246
236	9744	205
237	9784	164
238	9825	123
239	9862	82
240	9902	41
241	9959	0
