iter	Passed	Remaining
0	191	128960
1	224	75566
2	258	57810
3	290	48648
4	324	43468
5	355	39616
6	406	38727
7	439	36555
8	471	34838
9	505	33595
10	538	32444
11	572	31563
12	611	31075
13	642	30283
14	681	29935
15	714	29397
16	748	28932
17	778	28387
18	811	27963
19	842	27552
20	875	27210
21	905	26825
22	943	26712
23	975	26418
24	1008	26181
25	1042	25975
26	1075	25762
27	1107	25561
28	1139	25339
29	1176	25262
30	1215	25210
31	1249	25073
32	1281	24893
33	1313	24725
34	1349	24631
35	1384	24543
36	1419	24439
37	1461	24463
38	1493	24325
39	1526	24190
40	1560	24097
41	1597	24031
42	1631	23936
43	1661	23789
44	1697	23720
45	1727	23581
46	1761	23495
47	1795	23417
48	1829	23333
49	1861	23225
50	1896	23168
51	1931	23099
52	1970	23086
53	2005	23020
54	2037	22929
55	2069	22835
56	2103	22767
57	2139	22724
58	2173	22657
59	2204	22563
60	2240	22512
61	2273	22441
62	2305	22359
63	2335	22263
64	2367	22183
65	2400	22110
66	2431	22032
67	2474	22055
68	2509	22005
69	2542	21940
70	2579	21911
71	2612	21840
72	2645	21776
73	2691	21825
74	2727	21785
75	2760	21716
76	2811	21800
77	2846	21751
78	2882	21707
79	2915	21646
80	2947	21578
81	2987	21564
82	3018	21493
83	3049	21420
84	3080	21348
85	3113	21288
86	3148	21243
87	3181	21186
88	3212	21117
89	3246	21069
90	3282	21027
91	3313	20960
92	3355	20960
93	3387	20901
94	3420	20848
95	3454	20796
96	3495	20791
97	3529	20742
98	3561	20685
99	3595	20639
100	3634	20619
101	3668	20570
102	3702	20527
103	3737	20486
104	3771	20440
105	3804	20387
106	3838	20338
107	3872	20295
108	3906	20250
109	3937	20187
110	3970	20137
111	4011	20127
112	4042	20068
113	4075	20019
114	4109	19976
115	4144	19934
116	4175	19879
117	4211	19841
118	4245	19800
119	4277	19748
120	4309	19694
121	4341	19642
122	4375	19600
123	4408	19552
124	4442	19512
125	4475	19466
126	4511	19431
127	4557	19441
128	4591	19396
129	4623	19345
130	4657	19305
131	4694	19274
132	4726	19226
133	4758	19176
134	4791	19129
135	4822	19076
136	4858	19042
137	4892	19003
138	4941	19021
139	4974	18973
140	5007	18929
141	5058	18950
142	5091	18906
143	5123	18857
144	5161	18829
145	5192	18778
146	5224	18729
147	5267	18721
148	5299	18673
149	5331	18625
150	5363	18575
151	5401	18550
152	5435	18507
153	5468	18466
154	5514	18465
155	5549	18428
156	5592	18416
157	5624	18367
158	5656	18322
159	5687	18269
160	5721	18230
161	5754	18187
162	5786	18140
163	5819	18096
164	5853	18056
165	5889	18023
166	5923	17983
167	5961	17955
168	5994	17912
169	6028	17872
170	6061	17830
171	6101	17806
172	6133	17763
173	6173	17740
174	6208	17703
175	6241	17659
176	6274	17619
177	6308	17577
178	6339	17532
179	6370	17484
180	6402	17438
181	6436	17398
182	6470	17361
183	6503	17319
184	6536	17276
185	6566	17227
186	6610	17216
187	6642	17171
188	6673	17124
189	6704	17080
190	6736	17035
191	6766	16987
192	6801	16950
193	6834	16909
194	6868	16871
195	6902	16834
196	6933	16788
197	6964	16742
198	6998	16703
199	7037	16678
200	7073	16646
201	7114	16623
202	7147	16583
203	7182	16547
204	7214	16504
205	7245	16460
206	7276	16417
207	7308	16374
208	7340	16332
209	7376	16298
210	7411	16262
211	7445	16225
212	7476	16181
213	7507	16136
214	7537	16092
215	7567	16045
216	7597	16000
217	7634	15970
218	7665	15926
219	7695	15880
220	7726	15837
221	7757	15794
222	7790	15755
223	7822	15714
224	7855	15676
225	7885	15631
226	7917	15590
227	7947	15546
228	7978	15503
229	8008	15459
230	8039	15416
231	8070	15375
232	8109	15349
233	8141	15308
234	8172	15266
235	8205	15228
236	8249	15210
237	8279	15166
238	8312	15129
239	8343	15087
240	8376	15050
241	8408	15010
242	8454	14995
243	8486	14956
244	8520	14919
245	8551	14877
246	8584	14839
247	8627	14819
248	8661	14784
249	8693	14744
250	8726	14705
251	8760	14670
252	8792	14630
253	8823	14589
254	8854	14549
255	8890	14516
256	8924	14480
257	8958	14445
258	8991	14407
259	9022	14367
260	9057	14331
261	9089	14293
262	9123	14257
263	9161	14228
264	9207	14211
265	9239	14171
266	9270	14130
267	9302	14092
268	9333	14052
269	9364	14012
270	9399	13977
271	9435	13944
272	9470	13910
273	9503	13874
274	9535	13835
275	9567	13796
276	9600	13759
277	9632	13721
278	9670	13691
279	9701	13651
280	9736	13617
281	9767	13577
282	9798	13537
283	9829	13498
284	9859	13457
285	9890	13418
286	9926	13384
287	9960	13349
288	9991	13310
289	10025	13274
290	10057	13237
291	10090	13200
292	10123	13163
293	10179	13157
294	10211	13119
295	10246	13084
296	10277	13046
297	10308	13007
298	10340	12969
299	10371	12929
300	10409	12899
301	10443	12864
302	10478	12829
303	10510	12792
304	10543	12755
305	10572	12714
306	10606	12678
307	10637	12641
308	10677	12612
309	10708	12573
310	10739	12534
311	10769	12495
312	10805	12462
313	10836	12423
314	10867	12385
315	10900	12348
316	10930	12310
317	10965	12275
318	10997	12238
319	11031	12203
320	11061	12164
321	11090	12124
322	11121	12086
323	11152	12046
324	11192	12018
325	11221	11978
326	11252	11940
327	11295	11915
328	11325	11875
329	11356	11838
330	11390	11803
331	11426	11771
332	11459	11735
333	11490	11696
334	11521	11658
335	11554	11622
336	11585	11585
337	11615	11547
338	11646	11509
339	11676	11470
340	11710	11435
341	11744	11400
342	11775	11363
343	11807	11327
344	11838	11289
345	11867	11250
346	11898	11212
347	11929	11175
348	11960	11137
349	11990	11099
350	12031	11072
351	12062	11034
352	12095	10999
353	12128	10963
354	12159	10926
355	12199	10896
356	12232	10861
357	12263	10824
358	12294	10787
359	12328	10753
360	12362	10718
361	12394	10682
362	12428	10647
363	12458	10610
364	12491	10574
365	12523	10538
366	12557	10504
367	12590	10469
368	12623	10433
369	12653	10396
370	12685	10360
371	12724	10329
372	12755	10293
373	12790	10260
374	12821	10223
375	12869	10199
376	12904	10166
377	12936	10130
378	12968	10094
379	13001	10059
380	13036	10025
381	13068	9989
382	13100	9953
383	13134	9918
384	13164	9882
385	13197	9846
386	13243	9821
387	13277	9787
388	13313	9753
389	13345	9718
390	13377	9682
391	13412	9649
392	13445	9613
393	13478	9578
394	13510	9542
395	13541	9506
396	13574	9471
397	13604	9434
398	13636	9398
399	13668	9362
400	13705	9330
401	13737	9295
402	13778	9265
403	13809	9229
404	13838	9191
405	13869	9155
406	13899	9118
407	13930	9082
408	13960	9045
409	13992	9009
410	14024	8974
411	14054	8937
412	14087	8902
413	14117	8866
414	14150	8831
415	14183	8796
416	14215	8761
417	14247	8725
418	14289	8696
419	14322	8661
420	14353	8625
421	14383	8589
422	14417	8554
423	14447	8518
424	14479	8483
425	14510	8447
426	14545	8413
427	14577	8378
428	14607	8342
429	14641	8308
430	14675	8274
431	14712	8241
432	14744	8206
433	14789	8178
434	14823	8144
435	14856	8109
436	14890	8075
437	14924	8041
438	14959	8007
439	14995	7974
440	15032	7942
441	15068	7909
442	15103	7875
443	15143	7844
444	15176	7810
445	15208	7774
446	15242	7740
447	15276	7706
448	15320	7677
449	15359	7645
450	15448	7638
451	15521	7623
452	15555	7589
453	15594	7556
454	15632	7524
455	15664	7488
456	15723	7465
457	15759	7432
458	15794	7398
459	15837	7367
460	15871	7333
461	15904	7298
462	15937	7263
463	15971	7228
464	16005	7193
465	16040	7159
